Comment,Designator,Footprint,LCSC,Quantity
Conn_01x04,J6,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,,1
20pf,C3,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
R,R4,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
STM32F446RETx,U1,LQFP-64_10x10mm_P0.5mm,,1
NJM2845DL1-33-TE1,U2,DPAK228P968X238-4N,,1
Conn_01x02,J1,PinHeader_1x02_P2.54mm_Vertical,,1
MCP2561-E-SN,U3,SOIC-8_3.9x4.9mm_P1.27mm,,1
0.1uF,C5,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
MCP2561-E-SN,U4,SOIC-8_3.9x4.9mm_P1.27mm,,1
Crystal_GND24_Small,Y1,XTAL_TSX-3225_25.0000MF10P-C0,,1
Conn_01x04,J4,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,,1
Conn_01x04,J3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,1
10k,R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
120,R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
20pf,C2,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
0.1uF,C4,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
1uF,C6,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
0.1uF,C1,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
470,R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
Conn_01x04,J7,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,,1
SW_MEC_5E,SW1,SW4_SKRPABE010_ALPS,,1
Conn_01x02,J2,PinHeader_1x02_P2.54mm_Vertical,,1
Conn_01x04,J5,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,1
Conn_01x06,J8,PinHeader_1x06_P2.54mm_Vertical,,1
