Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,133.825,-78.475,0.0,top
C2,20pf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,128.95,-90.5375,-90.0,top
C3,20pf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,130.7,-90.5375,-90.0,top
C4,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,143.3125,-112.65,180.0,top
C5,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,147.8375,-112.625,180.0,top
C6,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,142.3875,-96.125,0.0,top
J1,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,131.55,-63.13,180.0,top
J2,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,130.05,-101.105,0.0,top
J3,Conn_01x04,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,148.65,-43.475,180.0,top
J4,Conn_01x04,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,133.875,-36.27,180.0,top
J5,Conn_01x04,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,133.875,-43.65,180.0,top
J6,Conn_01x04,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,148.625,-36.22,180.0,top
J7,Conn_01x04,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,132.8,-107.925,0.0,top
J8,Conn_01x06,PinHeader_1x06_P2.54mm_Vertical,155.1,-75.005,0.0,top
R1,470,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,133.775,-74.325,0.0,top
R2,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,137.9875,-78.5,180.0,top
R3,120,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,145.725,-64.3125,-90.0,top
R4,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,130.0,-96.475,180.0,top
SW1,SW_MEC_5E,SW4_SKRPABE010_ALPS,129.775001,-76.425,0.0,top
U1,STM32F446RETx,LQFP-64_10x10mm_P0.5mm,138.775,-86.65,270.0,top
U2,NJM2845DL1-33-TE1,DPAK228P968X238-4N,146.45,-105.725,0.0,top
U3,MCP2561-E-SN,SOIC-8_3.9x4.9mm_P1.27mm,140.625,-68.6675,270.0,top
U4,MCP2561-E-SN,SOIC-8_3.9x4.9mm_P1.27mm,137.625,-101.3825,90.0,top
Y1,Crystal_GND24_Small,XTAL_TSX-3225_25.0000MF10P-C0,129.35,-85.225,0.0,top
